
A T O M   T Y P E S

IDX	TYPE	RING
 1940    432.96151    432.96361
 1950    432.94052    432.94263
 1960    432.91946    432.92158
 1970    432.89827    432.90040
 1980    432.87701    432.87914
 1990    432.85570    432.85783
 2000    432.83422    432.83638
 2010    432.81257    432.81474
 2020    432.79075    432.79294
 2030    432.76889    432.77108
 2040    432.74697    432.74917
 2050    432.72489    432.72711
 2060    432.70271    432.70494
 2070    432.68040    432.68264
 2080    432.65799    432.66023
 2090    432.63546    432.63773
 2100    432.61283    432.61510
 2110    432.59005    432.59233
 2120    432.56704    432.56935
 2130    432.54380    432.54614
 2140    432.52035    432.52271
 2150    432.49664    432.49903
 2160    432.47263    432.47505
 2170    432.44849    432.45091
 2180    432.42412    432.42657
 2190    432.39951    432.40198
 2200    432.37459    432.37711
 2210    432.34924    432.35180
 2220    432.32343    432.32604
 2230    432.29708    432.29975
 2240    432.27048    432.27307
 2250    432.24884    432.25063
 2260    432.23146    432.23318
 2270    432.21413    432.21587
 2280    432.19663    432.19839
 2290    432.17904    432.18081
 2300    432.16132    432.16309
 2310    432.14355    432.14533
 2320    432.12571    432.12750
 2330    432.10770    432.10951
 2340    432.08953    432.09135
 2350    432.07122    432.07306
 2360    432.05282    432.05467
 2370    432.03422    432.03609
 2380    432.01544    432.01733
 2390    431.99654    431.99843
 2400    431.97757    431.97947
 2410    431.95852    431.96044
 2420    431.93926    431.94119
 2430    431.91979    431.92175
 2440    431.90005    431.90205
 2450    431.88011    431.88211
 2460    431.85996    431.86199
 2470    431.83957    431.84163
 2480    431.81891    431.82100
 2490    431.79794    431.80005
 2500    431.77674    431.77887
 2510    431.75529    431.75746
 2520    431.73340    431.73561
 2530    431.71109    431.71333
 2540    431.68846    431.69074
 2550    431.66555    431.66787
 2560    431.64220    431.64455
 2570    431.61856    431.62093
 2580    431.59690    431.59873
 2590    431.58052    431.58210
 2600    431.56479    431.56636
 2610    431.54899    431.55058
 2620    431.53311    431.53471
 2630    431.51714    431.51874
 2640    431.50108    431.50269
 2650    431.48491    431.48653
 2660    431.46867    431.47031
 2670    431.45221    431.45387
 2680    431.43550    431.43719
 2690    431.41857    431.42027
 2700    431.40151    431.40322
 2710    431.38422    431.38597
 2720    431.36668    431.36844
 2730    431.34893    431.35072
 2740    431.33091    431.33273
 2750    431.31266    431.31450
 2760    431.29425    431.29610
 2770    431.27559    431.27747
 2780    431.25660    431.25851
 2790    431.23734    431.23928
 2800    431.21783    431.21979
 2810    431.19805    431.20004
 2820    431.17807    431.18009
 2830    431.15774    431.15979
 2840    431.13711    431.13920
 2850    431.11613    431.11824
 2860    431.09479    431.09694
 2870    431.07306    431.07524
 2880    431.05106    431.05326
 2890    431.02999    431.03188
 2900    431.01363    431.01516
 2910    430.99848    431.00000
 2920    430.98325    430.98478
 2930    430.96782    430.96937
 2940    430.95237    430.95392
 2950    430.93681    430.93837
 2960    430.92111    430.92268
 2970    430.90528    430.90688
 2980    430.88935    430.89095
 2990    430.87321    430.87483
 3000    430.85682    430.85847
 3010    430.84021    430.84189
 3020    430.82339    430.82508
 3030    430.80647    430.80816
 3040    430.78947    430.79119
 3050    430.77223    430.77396
 3060    430.75483    430.75659
 3070    430.73717    430.73895
 3080    430.71937    430.72115
 3090    430.70141    430.70322
 3100    430.68331    430.68513
 3110    430.66484    430.66671
 3120    430.64597    430.64787
 3130    430.62682    430.62875
 3140    430.60740    430.60935
 3150    430.58778    430.58974
 3160    430.56799    430.56998
 3170    430.54788    430.54991
 3180    430.52743    430.52948
 3190    430.50680    430.50888
 3200    430.48580    430.48791
 3210    430.46607    430.46780
 3220    430.45063    430.45211
 3230    430.43590    430.43738
 3240    430.42109    430.42258
 3250    430.40614    430.40764
 3260    430.39098    430.39251
 3270    430.37564    430.37719
 3280    430.36013    430.36169
 3290    430.34436    430.34594
 3300    430.32836    430.32997
 3310    430.31221    430.31383
 3320    430.29592    430.29757
 3330    430.27945    430.28111
 3340    430.26276    430.26445
 3350    430.24578    430.24750
 3360    430.22855    430.23028
 3370    430.21113    430.21289
 3380    430.19362    430.19537
 3390    430.17590    430.17769
 3400    430.15786    430.15969
 3410    430.13957    430.14141
 3420    430.12104    430.12290
 3430    430.10237    430.10425
 3440    430.08338    430.08530
 3450    430.06404    430.06599
 3460    430.04452    430.04647
 3470    430.02473    430.02673
 3480    430.00450    430.00655
 3490    429.98409    429.98613
 3500    429.96355    429.96558
 3510    429.94563    429.94716
 3520    429.93109    429.93252
 3530    429.91672    429.91817
 3540    429.90219    429.90365
 3550    429.88756    429.88903
 3560    429.87274    429.87423
 3570    429.85768    429.85919
 3580    429.84249    429.84402
 3590    429.82715    429.82870
 3600    429.81165    429.81320
 3610    429.79604    429.79761
 3620    429.78014    429.78174
 3630    429.76406    429.76568
 3640    429.74773    429.74938
 3650    429.73110    429.73278
 3660    429.71415    429.71585
 3670    429.69694    429.69868
 3680    429.67949    429.68124
 3690    429.66190    429.66367
 3700    429.64396    429.64577
 3710    429.62577    429.62761
 3720    429.60735    429.60920
 3730    429.58884    429.59070
 3740    429.57004    429.57194
 3750    429.55083    429.55277
 3760    429.53129    429.53326
 3770    429.51147    429.51347
 3780    429.49118    429.49324
 3790    429.47068    429.47268
 3800    429.45339    429.45485
 3810    429.43943    429.44082
 3820    429.42557    429.42696
 3830    429.41172    429.41311
 3840    429.39778    429.39918
 3850    429.38371    429.38512
 3860    429.36950    429.37093
 3870    429.35518    429.35660
 3880    429.34094    429.34237
 3890    429.32660    429.32805
 3900    429.31201    429.31348
 3910    429.29730    429.29878
 3920    429.28250    429.28398
 3930    429.26761    429.26911
 3940    429.25245    429.25398
 3950    429.23715    429.23868
 3960    429.22179    429.22333
 3970    429.20644    429.20798
 3980    429.19088    429.19246
 3990    429.17506    429.17665
 4000    429.15911    429.16071
 4010    429.14297    429.14460
 4020    429.12668    429.12832
 4030    429.11020    429.11186
 4040    429.09366    429.09532
 4050    429.07698    429.07866
 4060    429.06000    429.06171
 4070    429.04272    429.04447
 4080    429.02515    429.02692
 4090    429.00718    429.00899
 4100    428.98891    428.99075
 4110    428.97048    428.97234
 4120    428.95180    428.95368
 4130    428.93277    428.93469
 4140    428.91337    428.91533
 4150    428.89384    428.89580
 4160    428.87417    428.87613
 4170    428.85659    428.85809
 4180    428.84276    428.84411
 4190    428.82929    428.83063
 4200    428.81583    428.81719
 4210    428.80218    428.80356
 4220    428.78835    428.78974
 4230    428.77438    428.77578
 4240    428.76027    428.76170
 4250    428.74595    428.74738
 4260    428.73153    428.73298
 4270    428.71698    428.71845
 4280    428.70227    428.70375
 4290    428.68740    428.68890
 4300    428.67233    428.67384
 4310    428.65715    428.65868
 4320    428.64175    428.64329
 4330    428.62618    428.62774
 4340    428.61045    428.61203
 4350    428.59459    428.59619
 4360    428.57856    428.58017
 4370    428.56227    428.56392
 4380    428.54562    428.54730
 4390    428.52862    428.53035
 4400    428.51129    428.51304
 4410    428.49351    428.49531
 4420    428.47542    428.47724
 4430    428.45709    428.45894
 4440    428.43838    428.44026
 4450    428.41939    428.42130
 4460    428.40024    428.40216
 4470    428.38138    428.38320
 4480    428.36570    428.36707
 4490    428.35252    428.35383
 4500    428.33936    428.34067
 4510    428.32613    428.32746
 4520    428.31276    428.31411
 4530    428.29929    428.30064
 4540    428.28580    428.28716
 4550    428.27219    428.27356
 4560    428.25846    428.25985
 4570    428.24454    428.24593
 4580    428.23045    428.23187
 4590    428.21623    428.21766
 4600    428.20182    428.20328
 4610    428.18717    428.18865
 4620    428.17236    428.17384
 4630    428.15745    428.15895
 4640    428.14244    428.14395
 4650    428.12717    428.12872
 4660    428.11162    428.11320
 4670    428.09572    428.09732
 4680    428.07965    428.08127
 4690    428.06336    428.06499
 4700    428.04692    428.04856
 4710    428.03043    428.03208
 4720    428.01395    428.01560
 4730    427.99738    427.99905
 4740    427.98053    427.98223
 4750    427.96343    427.96515
 4760    427.94616    427.94789
 4770    427.92874    427.93050
 4780    427.91098    427.91277
 4790    427.89301    427.89480
 4800    427.87659    427.87802
 4810    427.86342    427.86470
 4820    427.85068    427.85196
 4830    427.83783    427.83913
 4840    427.82483    427.82614
 4850    427.81169    427.81301
 4860    427.79847    427.79980
 4870    427.78504    427.78639
 4880    427.77141    427.77279
 4890    427.75752    427.75892
 4900    427.74345    427.74486
 4910    427.72927    427.73070
 4920    427.71499    427.71642
 4930    427.70059    427.70203
 4940    427.68616    427.68761
 4950    427.67168    427.67313
 4960    427.65708    427.65855
 4970    427.64242    427.64390
 4980    427.62765    427.62913
 4990    427.61274    427.61424
 5000    427.59759    427.59912
 5010    427.58219    427.58375
 5020    427.56641    427.56801
 5030    427.55026    427.55188
 5040    427.53398    427.53561
 5050    427.51749    427.51916
 5060    427.50081    427.50247
 5070    427.48399    427.48568
 5080    427.46684    427.46858
 5090    427.44925    427.45102
 5100    427.43133    427.43314
