
A T O M   T Y P E S

IDX	TYPE	RING
 9580    422.92983    422.93054
 9590    422.92261    422.92334
 9600    422.91521    422.91596
 9610    422.90762    422.90839
 9620    422.89990    422.90068
 9630    422.89211    422.89289
 9640    422.88532    422.88585
 9650    422.88040    422.88089
 9660    422.87555    422.87604
 9670    422.87066    422.87115
 9680    422.86571    422.86621
 9690    422.86071    422.86121
 9700    422.85566    422.85616
 9710    422.85054    422.85106
 9720    422.84537    422.84589
 9730    422.84013    422.84066
 9740    422.83483    422.83536
 9750    422.82948    422.83002
 9760    422.82406    422.82460
 9770    422.81856    422.81911
 9780    422.81298    422.81354
 9790    422.80732    422.80789
 9800    422.80156    422.80214
 9810    422.79571    422.79630
 9820    422.78976    422.79036
 9830    422.78372    422.78433
 9840    422.77757    422.77819
 9850    422.77011    422.77088
 9860    422.76232    422.76310
 9870    422.75439    422.75520
 9880    422.74636    422.74712
 9890    422.74080    422.74125
 9900    422.73639    422.73684
 9910    422.73195    422.73240
 9920    422.72747    422.72792
 9930    422.72295    422.72340
 9940    422.71838    422.71884
 9950    422.71378    422.71424
 9960    422.70914    422.70961
 9970    422.70446    422.70493
 9980    422.69973    422.70020
 9990    422.69494    422.69542
 10000    422.69009    422.69058
 10010    422.68520    422.68569
 10020    422.68024    422.68074
 10030    422.67522    422.67573
 10040    422.67014    422.67065
 10050    422.66499    422.66551
 10060    422.65976    422.66029
 10070    422.65446    422.65500
 10080    422.64908    422.64962
 10090    422.64361    422.64416
 10100    422.63805    422.63861
 10110    422.63239    422.63296
 10120    422.62663    422.62721
 10130    422.62075    422.62135
 10140    422.61476    422.61537
 10150    422.60864    422.60926
 10160    422.60239    422.60302
 10170    422.59599    422.59664
 10180    422.58945    422.59011
 10190    422.58276    422.58344
 10200    422.57599    422.57667
 10210    422.56904    422.56974
 10220    422.56198    422.56266
 10230    422.55673    422.55715
 10240    422.55261    422.55302
 10250    422.54846    422.54888
 10260    422.54431    422.54473
 10270    422.54011    422.54053
 10280    422.53588    422.53630
 10290    422.53161    422.53204
 10300    422.52729    422.52773
 10310    422.52294    422.52338
 10320    422.51855    422.51899
 10330    422.51411    422.51456
 10340    422.50962    422.51007
 10350    422.50508    422.50553
 10360    422.50049    422.50095
 10370    422.49584    422.49631
 10380    422.49114    422.49161
 10390    422.48637    422.48685
 10400    422.48153    422.48202
 10410    422.47663    422.47712
 10420    422.47165    422.47215
 10430    422.46660    422.46711
 10440    422.46146    422.46198
 10450    422.45623    422.45676
 10460    422.45091    422.45145
 10470    422.44550    422.44604
 10480    422.44000    422.44055
 10490    422.43440    422.43496
 10500    422.42868    422.42926
 10510    422.42284    422.42343
 10520    422.41687    422.41748
 10530    422.41076    422.41138
 10540    422.40449    422.40513
 10550    422.39806    422.39871
 10560    422.39163    422.39223
 10570    422.38712    422.38750
 10580    422.38327    422.38365
 10590    422.37992    422.38028
 10600    422.37628    422.37665
 10610    422.37261    422.37298
 10620    422.36892    422.36929
 10630    422.36521    422.36558
 10640    422.36146    422.36184
 10650    422.35770    422.35807
 10660    422.35390    422.35428
 10670    422.35008    422.35046
 10680    422.34622    422.34661
 10690    422.34234    422.34273
 10700    422.33843    422.33882
 10710    422.33451    422.33490
 10720    422.33056    422.33096
 10730    422.32658    422.32698
 10740    422.32257    422.32297
 10750    422.31850    422.31891
 10760    422.31439    422.31481
 10770    422.31024    422.31066
 10780    422.30604    422.30646
 10790    422.30179    422.30222
 10800    422.29752    422.29794
 10810    422.29320    422.29363
 10820    422.28882    422.28926
 10830    422.28439    422.28484
 10840    422.27989    422.28034
 10850    422.27533    422.27578
 10860    422.27069    422.27115
 10870    422.26598    422.26645
 10880    422.26120    422.26168
 10890    422.25634    422.25682
 10900    422.25139    422.25189
 10910    422.24636    422.24686
 10920    422.24123    422.24174
 10930    422.23599    422.23652
 10940    422.23064    422.23118
 10950    422.22517    422.22572
 10960    422.21957    422.22014
 10970    422.21384    422.21442
 10980    422.20843    422.20891
 10990    422.20529    422.20563
 11000    422.20188    422.20222
 11010    422.19844    422.19878
 11020    422.19499    422.19533
 11030    422.19151    422.19185
    STEEPEST DESCENT HAS CONVERGED
1 molecule converted
